fmpo,skos:exactMatch seko,owl:deprecated,skos:prefLabel_fi,skos:prefLabel_sv,skos:prefLabel_en,skos:altLabel,alt_lang,skos:hiddenLabel,hidden_lang,spatial-uri,dct:spatial,skos:topConceptOf,skos:broader,skos:broader_Label,editorial_issue_URL,YSO-ID,wikidata-id,skos:editorialNote,H&S_notation,H&S-ID,MIMO-ID,dbpedia,SEKO-LCMPT-mapping,LCMPT-ID,rdfs:seeAlso,dct:isReplacedBy ,skos:related,skos:definition,skos:scopeNote,skos:changeNote,skos:historyNote,skos:modified,seko:statusNote,skos:noteSeko1,iconclass-uri
fmpo:00019,http://urn.fi/urn:nbn:fi:au:seko:00019,,agbosí,agbosí,agbosí,,,,,http://www.yso.fi/onto/yso/p105269,Kuuba,,fmpo:00864,rumpu,,,https://www.wikidata.org/entity/Q101968884,,,,,,,,https://www.oxfordmusiconline.com/grovemusic/view/10.1093/gmo/9781561592630.001.0001/omo-9781561592630-e-4002255486,,,,,,,,TARKISTA,Afrokuubalainen kaksikalvoinen rumpu.,
fmpo:00019,,,,,,agbosi,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00020,http://urn.fi/urn:nbn:fi:au:seko:00020,,agidigbo,agidigbo,agidigbo,,,,,"http://www.yso.fi/onto/yso/p104989,http://www.yso.fi/onto/yso/p109225",Nigeria|Benin,,fmpo:00709,näppäilysoitin,,,https://www.wikidata.org/entity/Q4692521,,,,,,,,,,,,,,,,TARKISTA,Nigeriassa ja Beninissä käytettävä lamellofoni (sormipiano).,
fmpo:00021,http://urn.fi/urn:nbn:fi:au:seko:00021,,agogô,agogô,agogo,,,,,,,,fmpo:00485,kello,,,https://www.wikidata.org/entity/Q395212,,,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2014015007,https://musicbrainz.org/instrument/f341241c-6a19-4ed9-acb0-0b89fe0bfdef,,,,,,,,TARKISTA,Sambassa käytettävä kaksipäinen kello.,
fmpo:00021,,,,,,agogô,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00021,,,,,,can can,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00022,http://urn.fi/urn:nbn:fi:au:seko:00022,,agogô triplo,agogô triplo,agogô triplo,,,,,,,,fmpo:00485,kello,,,http://www.wikidata.org/entity/Q116163586,,,,,,,,,,,,,,,,TARKISTA,Sambassa käytettävä kolmipäinen kello.,
fmpo:00022,,,,,,agogo triplo,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00022,,,,,,triple agogo,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00023,http://urn.fi/urn:nbn:fi:au:seko:00023,,agung,agung,agung,,,,,"http://www.yso.fi/onto/yso/p105242,http://www.yso.fi/onto/yso/p105717",Indonesia|Malesia,,fmpo:00376,gongi,,,https://www.wikidata.org/entity/Q398619,,,,,,,,,,,,,,,,TARKISTA,Indonesian saarilla ja Malaijin niemimaalla käytettävä gongi.,
fmpo:00024,http://urn.fi/urn:nbn:fi:au:seko:00024,,aidatrumpetti,aidatrumpet,tromba egiziana,,,,,,,,fmpo:01117,trumpetti,,,https://www.wikidata.org/entity/Q10403797,,,,,,,,,,,,,,,,TARKISTA,"Pitkä, kaksiventtiilinen fanfaaritrumpetti, joka rakennettiin Verdin Aida-oopperaa varten.",
fmpo:00024,,,,,,egyptiläinen trumpetti,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00025,http://urn.fi/urn:nbn:fi:au:seko:00025,,aizai,aizai,aizai,,,,,http://www.yso.fi/onto/yso/p104984,Kiina,,fmpo:00715,oboesoitin,,,https://www.wikidata.org/entity/Q411553,,,,,,,,,,,,,,,,TARKISTA,"Kiinalainen, oboetyyppinen puhallinsoitin.",
fmpo:00025,,,,,,ǎizǎi,cn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00025,,,,,,nán'ǎi,cn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00026,http://urn.fi/urn:nbn:fi:au:seko:00026,,ajaeng,ajaeng,ajaeng,,,,,http://www.yso.fi/onto/yso/p109302,Korea,,fmpo:00446,jousisoitin,,,https://www.wikidata.org/entity/Q411880,,,,http://www.mimo-db.eu/InstrumentsKeywords/3829,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015007,https://musicbrainz.org/instrument/51d4054b-b13a-47bd-9ff4-cfc42009c42c;,,,,,,,,TARKISTA,"Korealainen, jousella soitettava sitra.",
fmpo:00027,http://urn.fi/urn:nbn:fi:au:seko:00027,,akustinen kitara,akustisk gitarr,acoustic guitar,,,,,,,,fmpo:00504,kitara,,http://www.yso.fi/onto/yso/p22040,http://www.wikidata.org/entity/Q31561,,,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015306,,,,,,,,,TARKISTA,"Kitara, jonka ääntä ei ole sähköisesti vahvistettu tai muunneltu. Termiä suositellaan käytettäväksi erottamaan populaarimusiikissa käytettävät akustiset kitarat (kuten esim. country-kitara) taidemusiikissa käytettävästä ""klassisesta kitarasta"", joka on ai",
fmpo:00027,,,,,,ac-g (akustinen kitara),fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00027,,,,,,flamencokitara,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
