Leisiö-id	class	taso1	taso2	taso3	H-S	soitin	finna: äänite/esine	seko	notes	seko:hierarkia	skos:definition	soitin	mh-definition	Luokka	alaluokka	ryhmä	tyyppi
L076	2.A.3.1.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, putki on puuta		lanetti		#N/A				Lanetti	Lanetti (leppätorvi, paimentorvi, liru) on 25-50 cm pitkä, ehytputkinen klarinettisoitin, joka on rakennettu lepästä tai koivusta. Lanetin vinoon puhalluspäähän kiinnitetty katajalehdykkä on samalla puolella, kuin putken yläosaan tehdyt  3-7 sormiaukkoa.  Toisinaan sormiaukot on järjestetty omalaatuisesti lomittain, ja joskus soittimeen on tehty myös peukaloaukko. Lanetin parisenttinen putki laajenee sormiaukkojen alapuolella voimakkaasti, lähes kymmensenttiseksi kaikusuppiloksi.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L077	2.A.3.1.3.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, ehytputkiset, kuoriputkiset		kuoriklarinetti		#N/A				Kuoriklarinetti	Kuoriklarinetti on 40-100 cm pitkä, tuohinauhasta suoraksi tai käyräksi muotoiltu  kartiomainen soitin. Klarinetin puhalluspäähän on tuohikierteiden väliin kiinnitetty ohut tuohikieli.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L078	2.A.3.2.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, halkioputkiset, putki on puuta		halkioputkinen klarinettitorvi		#N/A	klarinettitorvi			Halkioputkinen klarinettitorvi	Halkioputkinen klarinettitorvi on lehdykkäkappaleesta ja tuohisesta kaikusuppilosta koostuva, 35-80 cm pitkä soitin. Vitsaksella tai pajunkuorella sidottu suukappale on leppää, mäntyä tai koivua; lehdykkä on tehty tuohesta tai katajasta. Toisinaan torveen on tehty pari sormiaukkoa.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L079	2.A.3.2.1.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, halkioputkiset, putki on puuta		puinen sarviklarinetti		#N/A				Puinen sarviklarinetti	Puinen sarviklarinetti (pukinsarvi) on halkaistusta puusta valmistettu ja tuohella päällystetty sarvenmallinen soitin, jonka viistoon puhalluspäähän on kiinnitetty männystä tai katajasta vuoltu ohut kieli. Noin 40 cm pitkän soittimen keskivaiheille on tehty neljä sormenpesillä viimeisteltyä sormiaukkoa.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L080	2.A.3.2.1	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, halkioputkiset, putki on puuta		luttu		#N/A				Luttu	Luttu (tuohitorvi, luddu, brelo) on 40-60 cm pitkä, koverretuista oksanpuolikkaista rakennettu klarinetti. Sen kapea puhalluspää laajenee 2-4 sormiaukon jälkeen vähitellen 4-7 cm laajuiseksi lieriöksi. Sormenpesillä ympäröidyt salmiakkimaiset sormiaukot muodostuvat liitoskohdan keskelle. Tuohipeitteisen lutun runkomateriaaliksi sopivat leppä ja haapa; lehdykkä on katajaa.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L081	2.A.3.2.1	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset klarinetit, halkioputkiset, putki on puuta		liru		http://urn.fi/urn:nbn:fi:au:seko:00604		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > klarinettisoitin > liru	Karjalainen puhallinsoitin.	Liru	Liru (pilli, brelo,truba) on 25-50 cm pitkä, lepästä tai haavasta halkaisutekniikalla rakennettu klarinettisoitin. Tuohipäällysteisen soittimen puhalluspäähän on liitetty katajasta valmistettu ohut lehdykkä tuohinauhan avulla. Lirun kolme tai neljä sormiaukkoa sijaitsevat puolivälissä putkea, joka on alapäästään kartiomainen.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Heteroglottiset eli irtonaisella lehdykällä varustetut
L082	2.B.1.	Glottofonit eli lehdykkävärähtelijät	Oboet		422.1	varsipilli		#N/A				Varsipilli	Varsipilli (mm. pilli, voikukkapilli, putkisoittu, soropilli) on oboesoitin, joka syntyy yksinkertaisimmillaan litistämällä esimerkiksi voikukan, oljen tai ruoholaukan varsi. Useimmiten sormiaukottoman varsipillin pituus on 3-20 cm. Eripituiset, sopivasti viritetyt, varsipillit voidaan koota rinnakkain tuohiliuskan väliin melodioiden soittamista varten.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Oboet	
L083	2.B.1.	Glottofonit eli lehdykkävärähtelijät	Oboet		422.1	kukkapilli		#N/A				Kukkapilli	Kukkapilli (kukka, pilli, soittopilli) on yksinkertainen oboe, jota soitetaan kukan pitkänomaiseen kukkaperään puhaltamalla. Soittimiksi käyvät  mm. pillikkeen, kissankellon ja puna-apilan kukat.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Oboet	
L084	2.B.1	Glottofonit eli lehdykkävärähtelijät	Oboet		422.1	palkopilli		#N/A				Palkopilli	Palkopilli on oboesoitin, jonka materiaaliksi sopii siperianhernepensaan palko. Avonaiseen, siemenistä puhdistettuun palkoon puhalletaan tylpäksi katkaistusta tyvipäästä.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Oboet	
L085	3.A.1.	Trumpetit	Kuoritrumpetit	Sormiaukottomat kuoritrumpetit		leppätrumpetti		#N/A									
L086	3.A.1.	Trumpetit	Kuoritrumpetit	Sormiaukottomat kuoritrumpetit		tuohitrumpetti		http://urn.fi/urn:nbn:fi:au:seko:01143	tuohitorvi, tanotorvi	puhallinsoitin > tuohitorvi	Suomalainen tuohesta tehty puhallinsoitin.	Tuohitrumpetti	Tuohitrumpetti (mm. tano- ja karhutorvi, ämyri ja tyytty) on koivun tai lepän tuohinauhasta kierretty torvi, jonka alapää on sidottu osittain halkaistulla oksanpätkällä. Tämän 10-200 cm pitkän sormiaukottoman torven muoto on vaihdellut käyrästä suoraan käytettävän tuohen pituuden, leveyden ja paksuuden mukaan. Tuohesta on kääritty näkyviin vaihtelevasti pinta- ja välituohi. Toisinaan tuohisuppilo on kääritty puuputkesta valmistetun suukappaleen ympärille puhaltamisen helpottamiseksi.	Trumpetit	Kuoritrumpetit		
L087	2.A.2.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Osaheteroglottiset klarinetit		sormiaukollinen kuoritrumpetti		#N/A	ei tällä niimellä. borija?								
L088	3.B.1.1.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		luikkuri		#N/A	> luikku								
L088A	3.B.1.1.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		luikku		http://urn.fi/urn:nbn:fi:au:seko:00614	(luikuri)	trumpettisoitin > puutrumpetti > luikku	Suomalainen tuohinauhalla päällystetty puinen puhallinsoitin.	Luikku	Luikku (luikuri, luikkuri) on suora, yleensä 80-150 cm pitkä puutrumpetti. Sen pitkä ja kapea varsi laajenee halkaisijaltaan enintään 10 cm laajaksi, lyhyehköksi kaikusuppiloksi. Kansankulttuurin piirissä luikku on rakennettu useimmiten haavasta tai lepästä. Puurungon ympärille on tavallisesti kierretty tuohinauha, mutta myös juurikierrettä on käytetty.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit	
L088B	3.B.1.1.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		totto		#N/A									
L089	3.B.1.1.1	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		brelo		http://urn.fi/urn:nbn:fi:au:seko:00154		trumpettisoitin > brelo	Karjalainen, puinen puhallinsoitin.	Brelo	Brelo on puurunkoinen, tuohella päällystetty 650 – 130 cm:n pituinen sormiaukoton trumpettisoitin, jonka putki päättyy irralliseen kaikusuppiloon. Kaikusuppilon materiaalina on toiminut vahva tuohinauha, pelti ja lehmänsarvi. 	Trumpetit			
L090	3.B.1.1.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		reno		#N/A									
L091	3.B.1.1.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		rukoustorvi		#N/A									
L092	3.B.1.1.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		turu		http://urn.fi/urn:nbn:fi:au:seko:01145	túru (side-blown trumpet) (LCMPT)	vaskipuhallin > turu	Karjalainen kansanomainen puutrumpettisoitin.						
L093	3.B.1.1.2	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystämättömät		vannetrumpetti		#N/A				Vannetrumpetti	Vannetrumpetti (ranvahtitorvi, kirnutorvi) on suorana laajeneva, yleensä 50-100 cm pitkä, päällystämätön puutrumpetti. Lepästä, haavasta tai katajasta koverretut puolikkaat on puristettu tiukasti toisiaan vasten kataja- tai rautavanteilla. Suomenkielisten käyttämässä torvimallissa poraus on myötäillyt profiilia. Ruotsinkielisten tuohella päällystetyssä ranvahtitorvessa on sitävastoin kolmiosainen, portaittain laajeneva poraus.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit	
L094	3.B.1.1.3.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Käyrät ja päällystetyt		polvitorvi		http://urn.fi/urn:nbn:fi:au:seko:00790		puhallinsoitin > polvitorvi	Suomalainen (karjalainen), kansanomainen, puuosista koottu trumpettisoitin.						
L095	3.B.1.1.3	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Käyrät ja päällystetyt		pyörötrumpetti		#N/A									
L096	3.B.1.1.3	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Käyrät ja päällystetyt		mutkaluikku		#N/A									
L097	3.B.1.2.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Ehytputkiset, Suorat		luikka		#N/A									
L098	3.B.1.2.2.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Ehytputkiset, Käyrät		susitorvi		#N/A									
L099	3.B.2.1.1.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		rožok		http://urn.fi/urn:nbn:fi:au:seko:00861		vaskipuhallin > rožok	Venäläinen trumpettimainen paimentorvi.	Rozok	Rožok (lävikkö, pukinsarvi) on tuohella päällystetty halkioputkinen puutrumpetti. Soittimessa on 3-5 sormiaukkoa, sekä lähes aina myös peukaloaukko hälytysäänien soittamista varten. Sormiaukkojen sijoittuminen vähitellen laajenevan kaikusuppilon ja puhalluspään lähelle on vaihdellut alueittain. Noin 40 cm pitkän ja laajimmillaan  5 cm paksun soitti'men rakennusaineena on käytetty mm. haapaa.	Trumpetit	Puutrumpetit	Sormiaukolliset puutrumpetit	
L100	3.B.2.1.1.	Trumpetit	Puutrumpetit	Sormiaukolliset puutrumpetit, Halkioputkiset, Suorat ja päällystetut		sormiaukollinen totto		#N/A									
L101	3.B.2.1.1.	Trumpetit				pikkutorvi		#N/A				Pikkutorvi	Pikkutorvi (paimentorvi) rakennetaan lepästä tai männystä vääntötekniikalla tai halkaisumenetelmällä. Trumpetin osat ovat 25 cm pitkä, halkaisijaltaan parisenttinen puuputki ja sen alapäähän tuohesta kierretty kaikusuppilo. Soittimessa on 4-6 taltalla tehtyä sormiaukkoa. (Ainoaa säilynyttä pikkutorvea säilytetään Kansallismuseossa.)	Trumpetit	Puutrumpetit	Sormiaukolliset puutrumpetit	
L102	3.B.2.1.2.	Trumpetit	Puutrumpetit	Sormiaukolliset puutrumpetit, Halkioputkiset, Suorat ja päällystetyt		lulletti		http://urn.fi/urn:nbn:fi:au:seko:00615		trumpettisoitin > puutrumpetti > lulletti	Suomalainen puinen trumpettisoitin.	Lulletti	Lulletti (paimentorvi) on noin 30 cm pitkä puutrumpetti. Osittain tai kokonaan tuohella päällystetty soitin on muodoltaan litteä ja lievästi käyrä. Puhallusaukko on sentin mittainen ja 3-6 sormiaukkoa ovat halkaisijaltaan 8-9 mm. Puusarvea on valmistettu ainakin lepästä, pajusta ja katajasta. Toisinaan lulletin alapuolelle on kaiverrettu pieni peukaloaukko hälytysäänien soittamista varten.	Trumpetit	Puutrumpetit	Sormiaukolliset puutrumpetit	
L103	3.B.2.2.1.	Trumpetit	Puutrumpetit	Sormiaukolliset puutrumpetit, Ehytputkiset, Käyrät		puusarvi		#N/A									
L104	3.C.1.	Trumpetit	Sarvitrumpetit	Sormiaukottomat sarvitrumpetit		häränsarvi		#N/A				Häränsarvi	Häränsarvi (mm. torvi, soittosarvi, rukoustorvi, ruokapilli, paimentorvi, luurupilli) on sonnin sarvesta valmistettu trumpettisoitin. Soittimiksi on usein valikoitu suurikokoisia sarvia.	Trumpetit			
L105	3.C.1.	Trumpetit	Sarvitrumpetit	Sormiaukottomat sarvitrumpetit		lehmänsarvi		#N/A				Lehmänsarvi	Lehmänsarvi (mm. torvi, soitinsarvi, tyytty ja tyyty) on sormiaukoton sarvitrumpetti.	Trumpetit	Sarvitrumpetit		
L106	3.C.1.	Trumpetit	Sarvitrumpetit	Sormiaukottomat sarvitrumpetit		sormiaukoton pukinsarvi		#N/A				Sormiaukollinen pukinsarvi	Sormiaukollinen pukinsarvi (mm. soitto- ja päkäränsarvi, paimentorvi ja tyyppä) on sarvitrumpetti, jonka keskiosassa on 2-6 sormiaukkoa. Soittimen ulkosyrjään on yleensä porattu 1-2 ripustusreikää.	Trumpetit	Sarvitrumpetit		
L107	3.C.2	Trumpetit	Sarvitrumpetit	Sormiaukolliset sarvitrumpetit		sormiaukollinen naudansarvi		#N/A	naudansarvi			Sormiaukollinen naudansarvi	Sormiaukollinen naudansarvi valmistetaan sonnin tai lehmän sarvesta.  Kärjen katkaisemisen jälkeen puhallusaukkoa on perinteisesti suurennettu polttamalla tarpeen mukaan. Sarvi on hiottu kauttaaltaan sileäksi ja sen oletettavasti 2-5 sormiaukkoa on valmistettu poraamalla.	Trumpetit	Sarvitrumpetit		
L108	3.C.2.	Trumpetit	Sarvitrumpetit	Sormiaukolliset sarvitrumpetit		pukinsarvi		http://urn.fi/urn:nbn:fi:au:seko:00806		vaskipuhallin > sarvi (puhallinsoitin) > pukinsarvi	Suomalainen pukin sarvesta valmistettu trumpettisoitin.	Pukinsarvi	Pukinsarvi (mm. soittosarvi, jääränsarvi, tyttyrlyy) on pukinsarvesta valmistettu trumpettisoitin, jonka pinta voi olla täysin koskematon tai sileäksi hiottu. Pukinsarviin on usein kaiverrettu valmistajan tai käyttäjän puumerkki ja vuosiluku.	Trumpetit	Sarvitrumpetit		
L109	4.A.1.	Vapaat aerofonit	Katkoaerofonit	Kaksikkolehdykät		yksisolmuinen putkipilli		#N/A	putkipilli			Yksisolmuinen putkipilli	Yksisolmuinen putkipilli (putki, töröpilli, putkiluikku ja -soittu) on putki- tai ruokokasvista valmistettu soitin, jossa kaksi pintaa värähtelee toisiaan vasten. Pillin puhalluspää on avoin ja alapään solmu on halkaistu muutaman sentin matkalta. Soittimen pituus on ollut yleensä 30-40 cm. Eripituisia ja-paksuisia putkipillejä on toisinaan soitettu samanaikaisesti.	Vapaat aerofonit	Katkoaerofonit	Kaksikkolehdykät	
L110	4.A.1.	Vapaat aerofonit	Katkoaerofonit	Kaksikkolehdykät		kaksisolmuinen putkipilli		#N/A	putkipilli			Kaksisolmuinen putkipilli	Kaksisolmuinen putkipilli (putki-, töröpilli, putkihuilu ja pirri) on putkikasvista valmistettu soitin. Sen keskellä on puhallusaukko ja kummassakin päässä umpinainen, muutaman sentin matkalta halkaistu solmu. Soittimen pituus, 20-40 cm, määräytyy putken mukaan. Kaksisolmuinen putkipilli on yksisolmuisesta esikuvastaan kehitetty muunnos. 	Vapaat aerofonit			
L111	4.A.1.	Vapaat aerofonit	Katkoaerofonit	Kaksikkolehdykät		viillosputkipilli		#N/A				Viillosputkipilli	Viillosputkipilli (putkipilli, låto, pipa, vissla) valmistetaan oljesta tai putkikasvista, jonka keskelle vuollaan muutaman sentin pitkittäinen viilto. Pillin puhalluspää on avoin ja alapää umpinainen.	Vapaat aerofonit	Katkoaerofonit	Kaksikkolehdykät	
L111	4.A.2.	Vapaat aerofonit	Katkoaerofonit	Yksikkölehdykät		karutsapilli		http://urn.fi/urn:nbn:fi:au:seko:00476		puupuhallin > karutsapilli	Suomalainen kansanomainen, puuputkesta ja pyöränkumista tehty pilli.	Karutsapilli	Karutsapilli (karutsatorvi) tehdään pingottamalla suikale pyörän sisäkumia, ilmapalloa tai muuta kimmoisaa kalvoa onton lankarullan tai puuputken toiseen päähän. Ääni syntyy puhaltamalla avonaisesta päästä. Karutsa-nimitys merkitsee kalvoa.	Vapaat aerofonit	Katkoaerofonit	Yksikkölehdykät	
L112	4.A.2.	Vapaat aerofonit	Katkoaerofonit	Yksikkölehdykät		tuohipilli		http://urn.fi/urn:nbn:fi:au:seko:01142		puhallinsoitin > tuohipilli	Suomalainen sormiaukoton tuohesta tehty puhallinsoitin.	Tuohipilli	Tuohipilli (tuohi, tuohenpala, tuohikieli, pärrä, lehti) voidaan valmistaa tuohen palasta tai puun lehdestä. Eri puulajeista suosituimpia ovat olleet paatsama, paju, koivu, haapa ja sireeni. Soitettaessa mitoiltaan 3 x 7 cm:n lehden kapeampi sivu värähtelee ylähuulta vasten.	Vapaat aerofonit	Katkoaerofonit	Yksikkölehdykät	
L114	4.A.3.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät		nauhapilli		#N/A				Nauhapilli	Nauhapilli (heinä, sara-, ruohopilli, viilike) on soitin, joka syntyy peukaloiden väliin pingotetusta nauhasta. Nauhan materiaalina voi olla tuohi, ruoho, saraheinä tai puun lehti.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät	
L115	4.A.3	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät		parkkipilli		#N/A				Parkkipilli	Parkkipilli (tuohihuilu, kaarnapilli, pärri) muodostuu ohuesta tuohinauhasta, joka pingotetaan kahden koivusta kiskotun  tukevan 7 cm x 3 cm  kaarnanpalan väliin. Lehdykkänä voi tuohen asemasta käyttää myös koivun tai ratamonlehteä.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät	
L116	4.A.3.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät		pärri		#N/A				Pärri	Pärri (pyypilli) on rakenteeltaan nauhalehdykkä, joka on pingotettu kahden kovan ja keskeltä koveran kappaleen väliin. Nauha voidaan tehdä tuohesta, kasvin lehdestä tai sian viertsarakosta; noin 5 cm:n pitkän soittimen runkomateriaaliksi sopii puu tai sarviluu.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät	
L117	4.A.3.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät		pykäläpilli		http://urn.fi/urn:nbn:fi:au:seko:00820		puupuhallin > lehdykkäpuhallinsoitin > pykäläpilli	Suomalainen kansanomainen, tuohisella kielellä varustettu pilli.	Pykäläpilli	Pykäläpilli (tuohi- ja pajupilli, pilli, pyypiisku, gräslåtå) on 5-10 cm pitkä soitin, jossa ohut, tuohinen lehdykkä puristetaan  runkopalassa olevaan 2 cm:n koloon siihen sopivalla puupalalla. Värähtelyraon pinnat on vuoltu hieman koveriksi. Pykäläpillejä on rakennettu mm. lepästä.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät	
L118	4.A.3.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät		pykäläpillisarja		#N/A				Pykäläpillisarja	Pykäläpillisarja on 15-30 cm pitkä, noin 2 cm paksu ja leveä soitin. Puupalikkaan tai rimaan on tehty 4-10 koloa, suuremmasta pienempään. Jokaisen kolon peittää tulppa, joka puristaa alleen ohuen tuohisuikaleen. Värähtelyraon pinnat on vuoltu hieman koveriksi.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät	
L119	4.A.3.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät		karhutorvi		#N/A				Karhutorvi	Karhutorvi (paimentorvi) muodostuu pykäläpillistä, jonka päähän on kierretty kaikusuppilo lepän kuoresta tai tuohesta. Pykäläpillin materiaalina on käytetty katajaa tai mäntyä, ja osat on kiinnitetty toisiinsa sulatetulla pihkalla. Kuoritorven alapään halkaisija on ollut noin 10 cm.	Vapaat aerofonit	Katkoaerofonit	Nauhalehdykät	
L120	5.A.1.	Mirlitonit	Putkimirlitonit			nynnypilli		http://urn.fi/urn:nbn:fi:au:seko:00707	laulurumpu	mirlitoni > nynnypilli	Suomalainen, kansanomainen, kasviputkesta valmistettu pilli, jonka kuoripeitteen alta paljastettu kalvo toimii värähtelijänä.	Nynnypilli	Nynnypilli (mm. ruoko-, kaisla-, soro- ja nyynypilli) on 10-20 cm pitkä, järvi- tai meriruo’on kuivuneesta varresta valmistettu putkimirlitoni eli laulurumpu. Molemmista päistään avonaisen ruo’on keskeltä tai kärjestä esiin vuoltu laajahko ohut kalvomainen pinta värittää ääntä pilliin hyräiltäessä.	Mirlitonit			
LUOKKA	?					olkipilli		http://urn.fi/urn:nbn:fi:au:seko:00723	olkipilli	puupuhallin > olkipilli	Kansanomainen, oljesta valmistettu puhallin.						
LUOKKA	0.	Aerofonit			4	aerofoni		http://urn.fi/urn:nbn:fi:au:seko:00801		esittäjä > ääni > soitin > puhallinsoitin	Yleisnimitys tähän soitinryhmään kuuluvista soittimista. Termiä on suositeltavaa käyttää, kun soitinta ei voi tarkemmin määritellä tai jos soittimia on niin monia, ettei niiden erittely ole tarkoituksenmukaista.						
LUOKKA	0.					puhallinsoitin		http://urn.fi/urn:nbn:fi:au:seko:00801	(aerofoni)	soitin > puhallinsoitin	Yleisnimitys tähän soitinryhmään kuuluvista soittimista. Termiä on suositeltavaa käyttää, kun soitinta ei voi tarkemmin määritellä tai jos soittimia on niin monia, ettei niiden erittely ole tarkoituksenmukaista.						
LUOKKA	1.A.+1.B.+1.C.	Huilut				tulppakanavahuilu		http://urn.fi/urn:nbn:fi:au:seko:01134		huilusoitin > tulppakanavahuilu	Huilusoitinten toinen päätyyppi. Tulppakanavahuilujen ääni syntyy ilmavirran ohjautuessa matalan puhalluskanavan kautta terävään särmään.						
LUOKKA	1.D.	Huilut				reunahuilu		http://urn.fi/urn:nbn:fi:au:seko:00851	ductless flute	huilusoitin > reunahuilu	Huilusoitinten toinen päätyyppi. Reunahuilujen ääni syntyy siten, että soittaja suuntaa ilmavirran huilun reunaan.						
LUOKKA	2.	Glottofonit eli lehdykkävärähtelijät				glottofoni		#N/A									
LUOKKA	2.B.	Glottofonit eli lehdykkävärähtelijät	Oboet		422.1	oboe		http://urn.fi/urn:nbn:fi:au:seko:00712		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > oboesoitin > oboe	Vastakkain värisevällä lehdykkäparilla varustettu puhallinsoitin.						
LUOKKA	3.	Trumpetit				torvi		http://urn.fi/urn:nbn:fi:au:seko:01171	vaskipuhallin	puhallinsoitin > vaskipuhallin	Yleisnimitys puhallinsoittimille, jotka on perinteisesti valmistettu messingistä tai muusta vastaavasta metallista.						
LUOKKA	3.	Trumpetit				torvisoitin		http://urn.fi/urn:nbn:fi:au:seko:01171	vaskipuhallin	puhallinsoitin > vaskipuhallin	Yleisnimitys puhallinsoittimille, jotka on perinteisesti valmistettu messingistä tai muusta vastaavasta metallista.						
LUOKKA	3.C.					sarvi		#N/A									
LUOKKA	5.	Mirlitonit				mirlitoni		http://urn.fi/urn:nbn:fi:au:seko:00671		puupuhallin > mirlitoni	Yleisnimitys välineille, joilla voidaan muunnella niihin syötettyä ihmisen tai soittimen ääntä. Tyypillisiä mirlitoneja ovat kampa ja kazoo.						
	3.B.	Trumpetit	Puutrumpetit			puutrumpetti		http://urn.fi/urn:nbn:fi:au:seko:00819		trumpettisoitin > puutrumpetti	Trumpettisoitin, joka rakennetaan ontosta puuputkesta.						
						umpinainen pitkähuilu - ?		#N/A				Umpinainen pitkähuilu	Umpinainen pitkähuilu on kuoriputkesta valmistettu pitkähuilu, jonka alapää on tukittu tulpalla. Pajusta rakennetun huilun pituus on 30-70 cm.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: osiorunkoiset
