Leisiö-id	class	taso1	taso2	taso3	H-S	soitin	finna: äänite/esine	seko	notes	seko:hierarkia	skos:definition	soitin	mh-definition	Luokka	alaluokka	ryhmä	tyyppi
L014	A.1.3.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Umpinaiset kiinteärunkoiset		tremolopilli		#N/A				Tremolopilli	Tremolopilli (mm. huilu, soro- ja loitsupilli) on halkaisijaltaan 2-3 cm:n mittainen pajupilli, jonka värähtelevän äänen aikaansaa puhaltamisen vaikutuksesta ilmakammiossa liikkuva pieni esine. Pillin sisälle voidaan laittaa esimerkiksi pieni puupallo, kivi, herne tai viljan jyviä.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: kiinteärunkoiset
L015	A.1.3.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Umpinaiset kiinteärunkoiset		sormiaukollinen normaalipajupilli		#N/A				Sormiaukollinen pajupilli	Sormiaukollinen pajupilli (pajupilli) on 15-40 cm pitkä ja 2-3 cm paksu huilusoitin, jonka kuoriputkeen on särmäaukon leikkaamisen yhteydessä tehty yksi tai useampi sormiaukko. Kuoren alla olevaa ilmakammiota on vastaavasti suurennettu. Pillin rakennusaineena voidaan käyttää pajun ohella mm. pihlajaa.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: kiinteärunkoiset
L016	A.1.3.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Umpinaiset kiinteärunkoiset		sointupilli		#N/A				Sointupilli	Sointupilli muodostuu paksuhkoon pajunoksaan rakennetuista 2-4 pajupillistä, joiden särmäaukot, ääniontelot ja ilmakanavat sijaitsevat vierekkäin, mutta erillään toisistaan. Sointupillien puhalluspää on tylppä.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: kiinteärunkoiset
L017	A.1.3.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Umpinaiset kiinteärunkoiset		pajupillisarja		#N/A				Pajupillisarja	Pajupillisarja rakennetaan kiinnittämällä erilliseen runkoon 5-8 pajupilliä, jotka on etukäteen pyritty virittämään diatonisen sävelasteikon mukaan. Pillien viritys onnistuu särmäaukon ja ilmakammion kokoa muuttamalla, minkä vuoksi ne ovat pituudeltaan ja/tai paksuudeltaan erikokoisia. Pajupillisarjoja on rakennettu sileistä pajun ja raidan oksista.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: kiinteärunkoiset
L018	A.1.4.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		umpihuilu		http://urn.fi/urn:nbn:fi:au:seko:01161	umpihuilu (pihlajapilli, soropilli)	huilusoitin > tulppakanavahuilu > pilli > umpihuilu	Suomalainen kansanomainen, yleensä pajun, raidan tai lepän kuoresta tehty puhallinsoitin.	Umpihuilu	Umpihuilu (pihlaja- ja soropilli) rakennetaan pajun, raidan tai lepän kuoriputkesta. Materiaaliksi sopivat myös putkikasvit, luu ja metalli. 10-30 cm pitkässä, sormiaukottomassa umpihuilussa on tulppa puhalluspään ja särmäaukon välissä sekä putken alapäässä. 2-3 cm paksun huilun puhalluspää on tylppä tai viisto.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: osiorunkoiset
L019	A.1.4.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		sormiaukollinen umpihuilu		#N/A									
L020	A.1.4.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		mäntähuilu		http://urn.fi/urn:nbn:fi:au:seko:00691		huilusoitin > tulppakanavahuilu > mäntähuilu	Suomalainen, kansanomainen sormiaukoton huilusoitin, jonka säveltasoa voidaan muuttaa soittimen alapään tulppaa liikuttelemalla.	Mäntähuilu	Mäntähuilu on umpihuilun sovellutus, jossa soittimen ilmaontelon kokoa voi säätää pitkän ja liikuteltavan alatulpan avulla. Soittimen rakennusaineeksi sopii mm. pajun kuoriputki ja koiranputki.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
L020	A.1.4.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		umpihuilusarja		#N/A				Umpihuilusarja	Umpihuilusarja muodostuu 5-10 suippopäisestä umpihuilusta, jotka on sijoitettu vierekkäin puupalikkaan veistettyihin koloihin. Soittimeen kuuluvat, pajusta tai putkikasvista rakennetut, pillit voidaan virittää muodostamaan diatonisen sävelasteikko. Virityksessä hyödynnetään huilun liikuteltavan alatulpan avulla säädettävää putken pituutta sekä pillien paksuutta.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: osiorunkoiset
L022	A.1.4.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		petäjäpilli		#N/A	pilli			Petäjäpilli	Petäjäpilli (mäntypilli, huilu) on tehty perinteisesti männystä vääntötekniikalla. 8-15 cm pitkän huilun särmäaukko on parin senttimetrin päässä suiposta puhallusaukosta, ja alapää on umpinainen.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: osiorunkoiset
L023	A.1.4.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		sointupilli		#N/A				Petäjähuilu	Petäjähuilu (mäntypilli, pajukaza) on vääntötekniikalla aikaansaadusta mäntyputkesta valmistettu 15-40 cm pitkä tulppakanavahuilu, jossa on 3-4 sormiaukkoa. 	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Umpinaiset: osiorunkoiset
