seko,deprekotu,skos:preflLabel@fi,skos:prefLabel@sv,skos:prefLabel@en,skos:altLabel,alt_lang,skos:hiddenLabel,hidden_lang,spatial-uri,dct:spatial,skos:broader,skos:broader_prefLabel,issuet skos-note,YSO-ID,wikidata-id,skos:editorialNote,H&S,MIMO-ID,SEKO-LCMPT-mapping,LCMPT-ID,rdfs:seeAlso
http://urn.fi/urn:nbn:fi:au:seko:00041,,,,,,,cornet a bouquin alto,fr,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,alttotorvi,althorn,alto horn,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00904,saxhorn,,,http://www.wikidata.org/entity/Q157420,,,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015013,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,,a-h (alttotorvi),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,,Althorn,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,,E♭ horn,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,,tenor horn,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00042,,,,,,,E horn,en,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,alttoviulu,viola,viola,,,,,,,http://urn.fi/urn:nbn:fi:au:seko:00446,jousisoitin,,http://www.yso.fi/onto/yso/p14228,http://www.wikidata.org/entity/Q80284,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,,altviolin,sv,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,,Br. (alttoviulu),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,,Bratsche,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,,va (alttoviulu),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00043,,,,,vla (alttoviulu),fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00044,,amadinda,amadinda,amadinda,,,,,<http://www.yso.fi/onto/yso/p184560>,Keskinen Afrikka,http://urn.fi/urn:nbn:fi:au:seko:00552,ksylofoni,,,http://www.wikidata.org/entity/Q452030,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015018,
http://urn.fi/urn:nbn:fi:au:seko:00044,,,,,madinda,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00045,,aman huur,aman huur,aman huur,,,,,<http://www.yso.fi/onto/yso/p105251>,Mongolia,http://urn.fi/urn:nbn:fi:au:seko:00685,munniharppu,,,https://www.wikidata.org/entity/Q68647735,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,ānandalaharī,ānandalaharī,gubguba,,,,,"<http://www.yso.fi/onto/yso/p105027>,<http://www.wikidata.org/entity/Q1151572>,<http://www.yso.fi/onto/yso/p105275>",Itä-Intiä|Bangladesh,http://urn.fi/urn:nbn:fi:au:seko:00500,kielisoitin,,,http://www.wikidata.org/entity/Q98079039,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,,,,ananda lahari,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,,,,gubgubī,en,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,,,,khamak,de,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00046,,,,,,,gubgubi,en,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00047,,angélique,angelica,angélique,,,,,<http://www.yso.fi/onto/yso/p94111>,Eurooppa,http://urn.fi/urn:nbn:fi:au:seko:00622,luuttu,,,https://www.wikidata.org/entity/Q356330,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00047,,,,,angelique,fi,,,,,,,,,,,,,,,
http://urn.fi/urn:nbn:fi:au:seko:00048,,angklung,angklung,angklung,,,,,<http://www.yso.fi/onto/yso/p105242>,Indonesia,http://urn.fi/urn:nbn:fi:au:seko:00404,helistin,,,https://www.wikidata.org/entity/Q540049,,,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015020,
